# norm1   norm2  g21_pred   casA_pred   g21_diff   casA_diff   g21_chisq   casA_chisq
0.02 0.26 0.445419 0.018618 -0.1767 -0.4033 9.4769 0.004
0.02 0.27 0.439446 0.018369 -0.1877 -0.4112 10.6983 0.0041
0.02 0.28 0.433473 0.01812 -0.1988 -0.4192 11.9937 0.0043
0.02 0.29 0.427501 0.017872 -0.2098 -0.4272 13.3632 0.0044
0.02 0.3 0.421528 0.017623 -0.2208 -0.4352 14.8067 0.0046
0.02 0.31 0.415555 0.017374 -0.2319 -0.4431 16.3242 0.0048
0.02 0.32 0.409582 0.017126 -0.2429 -0.4511 17.9157 0.005
0.02 0.33 0.403609 0.016877 -0.254 -0.4591 19.5812 0.0051
0.02 0.34 0.397636 0.016628 -0.265 -0.4671 21.3207 0.0053
0.02 0.35 0.391663 0.016379 -0.276 -0.475 23.1343 0.0055
0.02 0.36 0.38569 0.016131 -0.2871 -0.483 25.0218 0.0057
0.02 0.37 0.379718 0.015882 -0.2981 -0.491 26.9834 0.0059
0.02 0.38 0.373745 0.015633 -0.3092 -0.4989 29.019 0.0061
0.02 0.39 0.367772 0.015384 -0.3202 -0.5069 31.1286 0.0063
0.02 0.4 0.361799 0.015136 -0.3312 -0.5149 33.3122 0.0064
0.02 0.41 0.355826 0.014887 -0.3423 -0.5229 35.5699 0.0067
0.02 0.42 0.349853 0.014638 -0.3533 -0.5308 37.9015 0.0069
0.02 0.43 0.34388 0.014389 -0.3644 -0.5388 40.3072 0.0071
0.02 0.44 0.337908 0.014141 -0.3754 -0.5468 42.7869 0.0073
0.02 0.45 0.331935 0.013892 -0.3864 -0.5547 45.3406 0.0075
0.02 0.46 0.325962 0.013643 -0.3975 -0.5627 47.9683 0.0077
0.02 0.47 0.319989 0.013394 -0.4085 -0.5707 50.67 0.0079
0.02 0.48 0.314016 0.013146 -0.4196 -0.5787 53.4458 0.0081
0.02 0.49 0.308043 0.012897 -0.4306 -0.5866 56.2955 0.0084
0.02 0.5 0.30207 0.012648 -0.4416 -0.5946 59.2193 0.0086
0.02 0.51 0.296097 0.012399 -0.4527 -0.6026 62.2171 0.0088
0.02 0.52 0.290125 0.012151 -0.4637 -0.6106 65.2889 0.0091
0.02 0.53 0.284152 0.011902 -0.4748 -0.6185 68.4347 0.0093
0.02 0.54 0.278179 0.011653 -0.4858 -0.6265 71.6546 0.0095
0.02 0.55 0.272206 0.011404 -0.4968 -0.6345 74.9484 0.0098
0.02 0.56 0.266233 0.011156 -0.5079 -0.6424 78.3163 0.01
0.02 0.57 0.26026 0.010907 -0.5189 -0.6504 81.7581 0.0103
0.02 0.58 0.254287 0.010658 -0.53 -0.6584 85.274 0.0105
0.02 0.59 0.248314 0.01041 -0.541 -0.6664 88.8639 0.0108
0.02 0.6 0.242342 0.010161 -0.552 -0.6743 92.5279 0.0111
0.02 0.61 0.236369 0.009912 -0.5631 -0.6823 96.2658 0.0113
0.02 0.62 0.230396 0.009663 -0.5741 -0.6903 100.0778 0.0116
0.02 0.63 0.224423 0.009415 -0.5852 -0.6983 103.9637 0.0119
0.02 0.64 0.21845 0.009166 -0.5962 -0.7062 107.9237 0.0121
0.02 0.65 0.212477 0.008917 -0.6073 -0.7142 111.9577 0.0124
0.02 0.66 0.206504 0.008668 -0.6183 -0.7222 116.0657 0.0127
0.02 0.67 0.200531 0.00842 -0.6293 -0.7301 120.2478 0.013
0.02 0.68 0.194559 0.008171 -0.6404 -0.7381 124.5038 0.0133
0.02 0.69 0.188586 0.007922 -0.6514 -0.7461 128.8339 0.0135
0.02 0.7 0.182613 0.007673 -0.6625 -0.7541 133.2379 0.0138
0.02 0.71 0.17664 0.007425 -0.6735 -0.762 137.716 0.0141
0.02 0.72 0.170667 0.007176 -0.6845 -0.77 142.2681 0.0144
