# Ang	-new/-old	+new/+old
# N	N	N
46.08	0.961392	0.961707
46.17	0.961335	0.961664
46.26	0.961278	0.96153
46.35	0.961129	0.961488
46.44	0.961072	0.961428
46.53	0.961015	0.961385
46.62	0.960941	0.961343
46.71	0.960884	0.961208
46.8	0.960736	0.961166
46.89	0.960679	0.961123
46.98	0.960622	0.961063
47.07	0.960565	0.961021
47.16	0.960491	0.960978
47.25	0.960434	0.960844
47.34	0.960286	0.960801
47.43	0.960229	0.960759
47.52	0.960172	0.960699
47.61	0.960115	0.960657
47.7	0.960058	0.960522
47.79	0.959984	0.96048
47.88	0.959836	0.960437
47.97	0.959779	0.960378
48.06	0.959722	0.960335
48.15	0.959665	0.960292
48.24	0.959609	0.960158
48.33	0.959443	0.960116
48.42	0.959386	0.960073
48.51	0.95933	0.960014
48.6	0.959273	0.959971
48.69	0.959207	0.959837
48.78	0.959138	0.959795
48.87	0.958961	0.959752
48.96	0.958893	0.959709
49.05	0.958824	0.95965
49.14	0.958756	0.959607
49.23	0.958687	0.959473
49.32	0.958527	0.959431
49.41	0.958459	0.959388
49.5	0.958373	0.959346
49.59	0.958305	0.959286
49.68	0.958236	0.958854
49.77	0.958168	0.9585
49.86	0.958008	0.958146
49.95	0.957939	0.957792
50.04	0.957854	0.957439
50.13	0.957785	0.957069
50.22	0.957717	0.956624
50.31	0.957648	0.956272
50.4	0.957489	0.955919
50.49	0.95742	0.955567
50.58	0.957352	0.955199
50.67	0.957267	0.954986
50.76	0.957198	0.954959
50.85	0.957038	0.954932
50.94	0.95697	0.954904
51.03	0.956902	0.954877
51.12	0.956833	0.954833
51.21	0.956748	0.954715
51.3	0.95668	0.954687
51.39	0.95652	0.95466
51.48	0.956452	0.954633
51.57	0.956384	0.954605
51.66	0.956315	0.95447
51.75	0.956247	0.954443
51.84	0.956071	0.954416
51.93	0.956003	0.954388
52.02	0.955934	0.954361
52.11	0.955866	0.954334
52.2	0.955798	0.954199
52.29	0.95573	0.954172
52.38	0.955553	0.954144
52.47	0.955485	0.954117
52.56	0.955417	0.95409
52.65	0.955349	0.953972
52.74	0.955281	0.953927
52.83	0.955213	0.9539
52.92	0.955037	0.953873
53.01	0.954968	0.953846
53.1	0.9549	0.953818
53.19	0.954832	0.953683
53.28	0.954764	0.953656
53.37	0.954605	0.953629
53.46	0.954537	0.953602
53.55	0.954452	0.953574
53.64	0.954384	0.953456
53.73	0.954316	0.953412
53.82	0.954248	0.953385
53.91	0.954089	0.953358
  54	0.954021	0.95333
54.09	0.953936	0.953303
54.18	0.953868	0.953185
54.27	0.9538	0.953141
54.36	0.953641	0.953114
54.45	0.953573	0.953087
54.54	0.953505	0.953059
54.63	0.953437	0.952941
54.72	0.953353	0.952914
54.81	0.953285	0.95287
54.9	0.953126	0.952843
54.99	0.953058	0.952816
55.08	0.95299	0.952788
55.17	0.952922	0.952661
55.26	0.952838	0.95262
55.35	0.95277	0.952563
55.44	0.952611	0.952523
55.53	0.952543	0.952482
55.62	0.952475	0.952351
55.71	0.952408	0.95231
55.8	0.952323	0.95227
55.89	0.952164	0.952213
55.98	0.952097	0.952172
56.07	0.952029	0.952132
56.16	0.951961	0.952001
56.25	0.951893	0.95196
56.34	0.951826	0.951903
56.43	0.95165	0.951863
56.52	0.951583	0.951822
56.61	0.951515	0.951691
56.7	0.951447	0.951651
56.79	0.95138	0.951611
56.88	0.951221	0.951553
56.97	0.951137	0.951513
57.06	0.951069	0.951382
57.15	0.951002	0.951342
57.24	0.950934	0.951301
57.33	0.950866	0.951261
57.42	0.950708	0.951204
57.51	0.95064	0.951163
57.6	0.950556	0.951032
57.69	0.950489	0.950992
57.78	0.950421	0.950952
57.87	0.950353	0.950911
57.96	0.950195	0.950854
58.05	0.950128	0.950723
58.14	0.950043	0.950683
58.23	0.949976	0.950643
58.32	0.949908	0.950602
58.41	0.94975	0.950562
58.5	0.949683	0.950505
58.59	0.949615	0.950374
58.68	0.949548	0.950334
58.77	0.949464	0.950293
58.86	0.949396	0.950253
58.95	0.949238	0.950196
59.04	0.949171	0.950065
59.13	0.94912	0.94998
59.22	0.949069	0.949895
59.31	0.949001	0.949809
59.4	0.948859	0.949724
59.49	0.948808	0.949622
59.58	0.948757	0.949446
59.67	0.948705	0.949361
59.76	0.948654	0.949276
59.85	0.948587	0.94919
59.94	0.948445	0.949105
60.03	0.948394	0.948913
60.12	0.948343	0.948827
60.21	0.948292	0.948742
60.3	0.94824	0.948657
60.39	0.948189	0.948572
60.48	0.948031	0.948487
60.57	0.94798	0.948295
60.66	0.947929	0.948209
60.75	0.947878	0.948124
60.84	0.947827	0.948039
60.93	0.947685	0.947954
61.02	0.947617	0.947779
61.11	0.947567	0.947677
61.2	0.947515	0.947592
61.29	0.947464	0.947507
61.38	0.947414	0.947422
61.47	0.947272	0.947337
61.56	0.947221	0.947145
61.65	0.947153	0.947061
61.74	0.947102	0.946976
61.83	0.947051	0.946891
61.92	0.94691	0.946806
62.01	0.946851	0.946631
62.1	0.94676	0.946529
62.19	0.946653	0.946444
62.28	0.946562	0.94636
62.37	0.946472	0.946275
62.46	0.94629	0.94619
62.55	0.9462	0.946015
62.64	0.946109	0.945914
62.73	0.946002	0.945829
62.82	0.945911	0.945744
